sample_id,ticket_date,person_id,区县地址,街道地址,mapped_l1_name,mapped_l2_name,是否回访,问题是否解决,是否热点,承办单位,text_subject_id,text_subject_type,text_place_id,text_place_type,address_id,has_address_id,has_text_place_id,has_text_subject_id,sanitized_text,person_total_complaints,address_total_complaints
17,2024-04-01,P00157,乙区,乙区-街道3,主题大类4,主题小类4-2,否,否,否,承办单位C,TS00023,主体类型1,TP00183,地点类型3,A00058,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0017。,2,6
18,2024-04-25,P00066,乙区,乙区-街道2,主题大类2,主题小类2-1,是,否,否,承办单位C,TS00105,主体类型3,TP00015,地点类型4,A00017,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0018。,1,4
19,2024-03-31,P00103,丙区,丙区-街道3,主题大类3,主题小类3-2,否,否,否,承办单位C,TS00128,主体类型1,TP00099,地点类型2,,0,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0019。,1,0
20,2024-05-03,P00001,乙区,乙区-街道3,主题大类3,主题小类3-2,否,否,是,承办单位B,TS00003,主体类型1,TP00160,地点类型1,A00021,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0020。,19,4
21,2024-05-12,P00020,甲区,甲区-街道2,主题大类1,主题小类1-1,否,是,否,承办单位A,TS00147,主体类型3,,,A00005,1,0,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-1，样例编号：0021。,5,8
22,2024-04-18,P00002,丙区,丙区-街道2,主题大类1,主题小类1-2,否,否,是,承办单位A,TS00105,主体类型2,TP00061,地点类型3,A00004,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0022。,14,10
23,2024-05-03,,乙区,乙区-街道1,主题大类4,主题小类4-2,否,否,否,承办单位E,,,TP00011,地点类型4,A00090,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0023。,0,3
24,2024-04-29,P00005,丙区,丙区-街道3,主题大类3,主题小类3-1,是,是,否,承办单位A,TS00015,主体类型1,,,A00023,1,0,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-1，样例编号：0024。,7,1
25,2024-05-16,P00011,甲区,甲区-街道2,主题大类2,主题小类2-1,否,否,否,承办单位A,TS00012,主体类型2,TP00023,地点类型3,A00004,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0025。,8,10
26,2024-04-04,P00093,甲区,甲区-街道1,主题大类4,主题小类4-1,否,否,否,承办单位E,TS00107,主体类型4,TP00116,地点类型5,A00042,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-1，样例编号：0026。,2,4
27,2024-05-01,P00015,丙区,丙区-街道2,主题大类1,主题小类1-2,否,否,是,承办单位A,TS00136,主体类型2,TP00037,地点类型4,A00046,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0027。,6,2
28,2024-05-07,P00123,丙区,丙区-街道2,主题大类2,主题小类2-2,否,否,否,承办单位C,,,TP00171,地点类型1,A00117,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-2，样例编号：0028。,3,3
29,2024-04-01,,丙区,丙区-街道3,主题大类3,主题小类3-1,否,是,否,承办单位D,TS00051,主体类型3,TP00154,地点类型4,A00015,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-1，样例编号：0029。,0,4
30,2024-04-05,P00009,乙区,乙区-街道3,主题大类2,主题小类2-1,是,是,否,承办单位D,TS00069,主体类型2,TP00058,地点类型4,A00026,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0030。,3,2
31,2024-05-05,P00250,丙区,丙区-街道1,主题大类2,主题小类2-1,否,是,否,承办单位E,TS00143,主体类型3,TP00106,地点类型4,A00022,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0031。,4,7
32,2024-05-03,P00061,丙区,丙区-街道2,主题大类1,主题小类1-2,否,否,否,承办单位C,TS00053,主体类型4,TP00035,地点类型5,A00050,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0032。,5,3
33,2024-04-22,P00110,乙区,乙区-街道2,主题大类1,主题小类1-2,否,是,否,承办单位A,TS00117,主体类型2,,,A00054,1,0,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0033。,2,3
34,2024-04-11,P00029,甲区,甲区-街道3,主题大类3,主题小类3-2,否,是,否,承办单位C,TS00003,主体类型1,TP00140,地点类型1,A00043,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0034。,3,3
35,2024-05-06,P00051,丙区,丙区-街道1,主题大类3,主题小类3-2,是,是,否,承办单位D,,,TP00071,地点类型2,A00089,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0035。,1,4
36,2024-04-27,P00038,乙区,乙区-街道3,主题大类4,主题小类4-1,是,否,否,承办单位A,TS00016,主体类型2,TP00094,地点类型4,A00007,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-1，样例编号：0036。,3,7
37,2024-04-10,P00001,乙区,乙区-街道1,主题大类1,主题小类1-2,否,否,否,承办单位D,TS00085,主体类型3,TP00025,地点类型1,A00091,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0037。,19,3
38,2024-03-19,P00003,甲区,甲区-街道1,主题大类4,主题小类4-2,是,是,否,承办单位B,TS00051,主体类型1,TP00164,地点类型5,A00063,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0038。,11,6
39,2024-04-29,P00076,乙区,乙区-街道3,主题大类3,主题小类3-1,否,否,否,承办单位C,TS00096,主体类型4,TP00154,地点类型5,A00041,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-1，样例编号：0039。,3,2
40,2024-04-12,P00053,甲区,甲区-街道2,主题大类2,主题小类2-1,是,是,否,承办单位A,TS00103,主体类型1,TP00158,地点类型4,A00019,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0040。,2,3
41,2024-03-08,P00159,乙区,乙区-街道3,主题大类2,主题小类2-1,否,否,是,承办单位E,TS00052,主体类型1,TP00011,地点类型5,A00066,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0041。,1,1
42,2024-05-15,P00011,乙区,乙区-街道1,主题大类2,主题小类2-1,是,否,是,承办单位A,TS00059,主体类型3,TP00038,地点类型4,A00055,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0042。,8,3
43,2024-04-03,P00034,甲区,甲区-街道1,主题大类3,主题小类3-2,否,否,否,承办单位B,TS00085,主体类型1,TP00025,地点类型1,A00043,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0043。,3,3
44,2024-04-08,P00036,丙区,丙区-街道2,主题大类3,主题小类3-2,否,否,否,承办单位C,TS00132,主体类型4,TP00185,地点类型1,A00017,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0044。,3,4
45,2024-05-09,,乙区,乙区-街道1,主题大类1,主题小类1-1,否,否,否,承办单位B,TS00104,主体类型4,TP00106,地点类型3,A00098,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-1，样例编号：0045。,0,5
46,2024-03-04,P00033,乙区,乙区-街道3,主题大类2,主题小类2-2,否,否,是,承办单位B,TS00054,主体类型4,TP00186,地点类型4,A00079,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-2，样例编号：0046。,4,4
47,2024-05-06,P00001,丙区,丙区-街道3,主题大类4,主题小类4-2,是,是,否,承办单位E,,,TP00074,地点类型5,A00005,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0047。,19,8
48,2024-04-26,P00010,乙区,乙区-街道1,主题大类1,主题小类1-2,否,是,是,承办单位C,TS00100,主体类型3,TP00032,地点类型1,A00003,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0048。,6,11
49,2024-05-14,P00190,丙区,丙区-街道3,主题大类2,主题小类2-1,否,是,否,承办单位A,,,TP00183,地点类型1,A00030,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0049。,1,3
50,2024-03-21,P00126,丙区,丙区-街道1,主题大类1,主题小类1-2,是,是,否,承办单位A,,,TP00022,地点类型4,A00114,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0050。,1,1
51,2024-05-13,P00008,乙区,乙区-街道2,主题大类3,主题小类3-2,是,否,否,承办单位C,TS00060,主体类型3,TP00063,地点类型3,A00013,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0051。,6,6
52,2024-03-21,,丙区,丙区-街道1,主题大类3,主题小类3-2,否,否,是,承办单位C,TS00009,主体类型1,TP00180,地点类型3,,0,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0052。,0,0
53,2024-03-24,,甲区,甲区-街道1,主题大类1,主题小类1-1,是,是,否,承办单位D,TS00006,主体类型2,TP00028,地点类型4,A00030,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-1，样例编号：0053。,0,3
54,2024-05-15,P00013,甲区,甲区-街道3,主题大类2,主题小类2-2,是,否,否,承办单位B,,,,,A00002,1,0,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-2，样例编号：0054。,3,14
55,2024-03-07,,甲区,甲区-街道2,主题大类4,主题小类4-2,是,否,否,承办单位B,TS00068,主体类型4,TP00112,地点类型4,A00098,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0055。,0,5
56,2024-04-07,P00099,丙区,丙区-街道1,主题大类1,主题小类1-2,是,否,否,承办单位C,TS00083,主体类型1,,,A00049,1,0,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0056。,2,6
57,2024-05-08,,乙区,乙区-街道1,主题大类2,主题小类2-1,是,是,否,承办单位B,TS00123,主体类型2,TP00111,地点类型1,A00096,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0057。,0,2
58,2024-03-05,P00015,丙区,丙区-街道1,主题大类3,主题小类3-2,否,否,是,承办单位D,TS00110,主体类型2,TP00104,地点类型5,A00031,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0058。,6,2
59,2024-05-04,P00092,乙区,乙区-街道1,主题大类1,主题小类1-2,否,否,否,承办单位C,TS00096,主体类型3,TP00020,地点类型3,A00005,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0059。,1,8
60,2024-03-04,P00042,丙区,丙区-街道1,主题大类4,主题小类4-1,否,否,否,承办单位B,TS00042,主体类型2,TP00126,地点类型2,A00105,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-1，样例编号：0060。,1,2
61,2024-04-28,P00029,丙区,丙区-街道2,主题大类4,主题小类4-1,否,否,否,承办单位E,TS00061,主体类型4,TP00047,地点类型5,A00073,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-1，样例编号：0061。,3,2
62,2024-04-29,P00214,甲区,甲区-街道2,主题大类4,主题小类4-2,是,是,否,承办单位D,TS00089,主体类型2,,,A00062,1,0,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0062。,1,4
63,2024-05-14,P00007,乙区,乙区-街道3,主题大类4,主题小类4-2,否,否,否,承办单位E,TS00035,主体类型1,TP00096,地点类型2,A00063,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0063。,4,6
64,2024-04-17,P00053,乙区,乙区-街道2,主题大类4,主题小类4-1,是,否,是,承办单位A,,,TP00180,地点类型4,A00075,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-1，样例编号：0064。,2,2
65,2024-03-24,P00003,丙区,丙区-街道1,主题大类4,主题小类4-2,否,是,否,承办单位C,TS00118,主体类型4,TP00060,地点类型3,A00008,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0065。,11,8
66,2024-04-07,P00026,甲区,甲区-街道1,主题大类2,主题小类2-1,否,否,是,承办单位D,TS00060,主体类型3,TP00172,地点类型1,A00016,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0066。,2,4
67,2024-03-15,,甲区,甲区-街道2,主题大类2,主题小类2-1,是,否,否,承办单位E,,,TP00069,地点类型1,A00010,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0067。,0,6
68,2024-03-10,,乙区,乙区-街道2,主题大类3,主题小类3-2,是,否,否,承办单位A,TS00104,主体类型2,TP00017,地点类型2,A00045,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0068。,0,1
69,2024-05-08,P00022,乙区,乙区-街道3,主题大类4,主题小类4-1,否,否,否,承办单位E,TS00099,主体类型2,TP00088,地点类型3,A00048,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-1，样例编号：0069。,1,2
70,2024-04-25,P00024,乙区,乙区-街道2,主题大类3,主题小类3-1,是,是,否,承办单位D,TS00022,主体类型1,TP00180,地点类型1,A00073,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-1，样例编号：0070。,5,2
71,2024-03-30,P00013,乙区,乙区-街道1,主题大类3,主题小类3-1,否,否,否,承办单位C,TS00017,主体类型3,TP00033,地点类型4,A00001,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-1，样例编号：0071。,3,22
72,2024-03-09,P00002,丙区,丙区-街道2,主题大类4,主题小类4-2,是,是,否,承办单位B,TS00069,主体类型1,TP00097,地点类型2,A00003,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0072。,14,11
73,2024-04-26,P00247,乙区,乙区-街道1,主题大类4,主题小类4-2,是,是,否,承办单位B,TS00048,主体类型4,TP00193,地点类型5,A00015,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0073。,1,4
74,2024-03-17,,乙区,乙区-街道3,主题大类2,主题小类2-1,是,是,是,承办单位E,TS00059,主体类型2,TP00048,地点类型5,A00001,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0074。,0,22
75,2024-04-19,P00114,丙区,丙区-街道2,主题大类2,主题小类2-2,否,否,否,承办单位A,TS00037,主体类型4,TP00023,地点类型1,A00002,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-2，样例编号：0075。,2,14
76,2024-03-19,P00020,丙区,丙区-街道2,主题大类1,主题小类1-1,是,是,否,承办单位B,TS00081,主体类型4,TP00073,地点类型2,A00059,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-1，样例编号：0076。,5,1
77,2024-05-15,,丙区,丙区-街道3,主题大类2,主题小类2-1,否,否,否,承办单位B,,,TP00193,地点类型1,A00020,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0077。,0,3
78,2024-03-12,,丙区,丙区-街道3,主题大类3,主题小类3-1,是,否,否,承办单位B,TS00073,主体类型1,TP00026,地点类型4,A00027,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-1，样例编号：0078。,0,4
79,2024-05-05,P00184,甲区,甲区-街道2,主题大类1,主题小类1-2,否,否,否,承办单位A,TS00084,主体类型1,TP00183,地点类型2,,0,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0079。,1,0
80,2024-05-06,P00181,乙区,乙区-街道2,主题大类4,主题小类4-1,否,否,是,承办单位D,,,TP00180,地点类型5,A00017,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-1，样例编号：0080。,1,4
81,2024-03-29,P00064,甲区,甲区-街道2,主题大类4,主题小类4-1,是,是,否,承办单位B,TS00031,主体类型3,TP00018,地点类型1,A00005,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-1，样例编号：0081。,1,8
82,2024-03-31,P00155,甲区,甲区-街道1,主题大类1,主题小类1-1,是,是,否,承办单位E,TS00039,主体类型1,TP00189,地点类型2,A00009,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-1，样例编号：0082。,1,9
83,2024-03-07,P00123,甲区,甲区-街道3,主题大类3,主题小类3-2,否,否,否,承办单位A,TS00128,主体类型3,TP00014,地点类型1,A00076,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0083。,3,1
84,2024-04-19,P00072,乙区,乙区-街道1,主题大类3,主题小类3-2,否,否,否,承办单位E,TS00010,主体类型1,TP00099,地点类型2,A00058,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0084。,6,6
85,2024-03-06,P00016,甲区,甲区-街道2,主题大类2,主题小类2-2,是,否,否,承办单位C,TS00029,主体类型3,TP00123,地点类型4,A00024,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-2，样例编号：0085。,2,8
86,2024-05-05,P00072,乙区,乙区-街道3,主题大类4,主题小类4-2,是,否,否,承办单位B,,,TP00113,地点类型5,A00119,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0086。,6,3
87,2024-04-09,P00078,乙区,乙区-街道2,主题大类4,主题小类4-2,是,否,否,承办单位E,TS00040,主体类型4,TP00038,地点类型4,A00027,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0087。,1,4
88,2024-04-17,P00001,乙区,乙区-街道1,主题大类3,主题小类3-1,否,否,否,承办单位D,TS00108,主体类型1,TP00122,地点类型4,A00107,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-1，样例编号：0088。,19,4
89,2024-04-26,P00003,甲区,甲区-街道1,主题大类1,主题小类1-2,否,是,否,承办单位B,TS00046,主体类型3,TP00047,地点类型5,A00038,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0089。,11,5
90,2024-04-30,P00025,乙区,乙区-街道2,主题大类4,主题小类4-1,是,是,否,承办单位B,TS00045,主体类型1,TP00023,地点类型4,A00001,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-1，样例编号：0090。,3,22
91,2024-03-05,P00024,乙区,乙区-街道1,主题大类3,主题小类3-1,是,是,是,承办单位A,TS00067,主体类型1,TP00108,地点类型1,A00049,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-1，样例编号：0091。,5,6
92,2024-04-13,P00100,丙区,丙区-街道1,主题大类2,主题小类2-2,否,是,否,承办单位C,,,TP00026,地点类型2,A00001,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-2，样例编号：0092。,1,22
93,2024-04-13,P00044,乙区,乙区-街道2,主题大类1,主题小类1-1,是,是,否,承办单位A,,,TP00120,地点类型3,A00002,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-1，样例编号：0093。,2,14
94,2024-05-07,P00074,甲区,甲区-街道2,主题大类2,主题小类2-1,否,否,否,承办单位E,,,,,A00072,1,0,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0094。,2,2
95,2024-05-15,P00044,乙区,乙区-街道1,主题大类3,主题小类3-1,是,是,否,承办单位B,TS00112,主体类型4,TP00043,地点类型4,A00022,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-1，样例编号：0095。,2,7
96,2024-04-25,P00098,甲区,甲区-街道1,主题大类3,主题小类3-2,是,否,否,承办单位B,,,TP00199,地点类型1,A00064,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0096。,2,2
